name,city,state,website,phone,email,source_url,source_name,product_types_raw,processes_inferred,process_for_pages,moq,certs,notes
Wine Country Kitchens,Napa,CA,http://winecountrykitchens.com,707-252-9463,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Dipping oils and vinegars; hot & cold fill co-packer,cold-fill,,small minimum runs,,Hot & cold fill; private label; 2015 PDF website: live; still_claims_copack=unknown
Ramar Foods International Inc.,Pittsburg,CA,http://ramarfoods.com,925-439-9009,primoj@ramarfoods.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","USDA, juice/cider, hors d'oeuvres, ice cream/sorbet and other frozen",dairy; beverage; frozen,,,USDA,2015 PDF website: live; still_claims_copack=no
Cascade Continental Foods,Richmond,CA,,510-232-3103,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Packaging lines for liquid and dry food products,,,,,review: not clearly a co-packer; 2015 PDF website: no-url; still_claims_copack=unknown
Triple H Food Processors,Riverside,CA,http://www.triplehfoods.com,951-352-5700,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Sauces, beverages, dry blends",beverage; sauces; dry-blend,sauce/condiment,,,review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=yes
K&G Custom Foods Inc.,San Diego,CA,,619-651-9033,operations@kgcustomfoods.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Frozen custom hand made foods,frozen,,,USDA; FDA,"16,000 sq ft; FDA 21 CFR and USDA FSIS; 2015 PDF website: no-url; still_claims_copack=unknown"
"Esco Foods, Inc.",San Francisco,CA,,415-864-2147,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Syrups, toppings, salad dressings, marinades, BBQ sauce, flavors, extracts",sauces,sauce/condiment,,,2015 PDF website: no-url; still_claims_copack=unknown
"Santini Foods, Inc.",San Lorenzo,CA,http://santinifoodsinc.com,510-317-8888,roger@santinifoodsinc.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Sweetened condensed milk, syrups & dressings; vegetable oils",sauces,sauce/condiment,,,review: contradiction — see copackers-review.md; 2015 PDF website: dead; still_claims_copack=unknown
"Day-Lee Foods, Inc.",Santa Fe Springs,CA,,562-802-6800,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Frozen foods,frozen,,,,2015 PDF website: no-url; still_claims_copack=unknown
"Premier Foods, LLC",Santa Fe Springs,CA,,562-944-1858,premierfoods@verizon.net,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Private label, hot and cold fill, glass & plastic, pH and non pH controlled products",cold-fill,,small minimum runs,FDA; organic; kosher,2015 PDF website: no-url; still_claims_copack=unknown
E. Waldo Ward & Son,Sierra Madre,CA,http://waldoward.com,800-355-9273,jelly@waldoward.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Wet products, jams, jellies, marmalades and sauces",sauces,sauce/condiment,,,review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=no
Sonoma Gourmet,Sonoma,CA,http://sonomagourmet.com,707-939-3700,sauceboy@sonomagourmet.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Wet food products,,,Minimum run 300-400 cases,FDA,FDA certified for pH and non-pH-controlled products; review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=no
Food Imagineering,South San Francisco,CA,,650-483-7447,gsullivan@foodimagineering.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",,,,,,2015 PDF website: no-url; still_claims_copack=unknown
SupHerb Farms,Turlock,CA,http://supherbfarms.com,209-633-3600,custserv@supherbfrms.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Fresh frozen culinary herbs, specialty vegetables, blends, pastes and purees",frozen,,,,2015 PDF website: live; still_claims_copack=no
"American Natural & Organic Spices, Inc.",Union City,CA,http://spicely.com,510-477-4787,info@spicely.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Kosher/Organic/Natural extracts, herbs and spices",,,,kosher; organic,2015 PDF website: live; still_claims_copack=no
"Aaron Thomas Company, Inc.",Garden Grove,CA,http://www.packaging.com/,(800) 394-4776,sales@packaging.com,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,"Also Illinois, Tennessee; review: not clearly a co-packer"
Bella Sun Luci/Mooney Farms,,CA,https://bellasunluci.com/about,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Caffe Del Mar,,CA,http://www.caffedelmar.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Cappucine,,CA,http://www.cappuccine.net/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Gil's Gourmet Gallery,,CA,http://www.gilsgourmet.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Gimbal Fine Candies,,CA,http://www.gimbalscandy.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Heiden's Foods,Anaheim,CA,https://www.heidensfoods.com/,(714) 525-3414,contact@heidensfoods.com,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
"Ibitta Enterprises, Inc.",SOUTH GATE,CA,https://ibitta.com/,(323) 588-6300,david@ibitta.com,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Kitchentown,,CA,http://www.kitchentowncentral.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,review: not clearly a co-packer
Maison de Monaco,,CA,https://maisondemonaco.com,(415) 504-4016,coco@maisondemonaco.com,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Michael's Cookies Inc.,,CA,http://www.michaelscookies.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Mrs. Leeper's Pasta Inc.,,CA,http://www.mrsleepers.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Preserve Farm Kitchens,,CA,https://preservefarmkitchens.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,review: not clearly a co-packer
"Radich Bor-do-lay, Inc.",,CA,http://www.bordolay.com,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
RW Garcia Co. Inc.,,CA,http://www.rwgarcia.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
"Santa Barbara Olive Co., Inc.",,CA,http://www.sbolive.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Specialty Enzymes & Probiotics,,CA,https://specialtyenzymes.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,review: not clearly a co-packer
Thatcher's Gourmet Popcorn,,CA,http://www.tgsp.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
The Graceful Cookie,,CA,https://thegracefulcookie.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Traina Foods,,CA,http://www.traina.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Valley Lahvosh Baking Co.,,CA,http://www.valleylahvosh.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
Ventura Foods,,CA,http://www.venturafoods.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,
"Z Specialty Food, LLC",,CA,http://www.zspecialtyfood.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,,dba Moon Shine Trading Co
Rocky Mountain Spice Co.,Denver,CO,https://rockymountainspice.com/,303-308-8066,brady@rockymountainspice.com,https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,Penn State Extension — List of Co-packers in Pennsylvania and Beyond (updated Dec 16 2025),"Bulk spices, seasonings blends, baking mixes, beverage mixes. Services co-packing and private label",beverage; dry-blend,,,,
Ready Foods,Denver,CO,https://www.readyfoods.biz,(303) 892-5861,info@readyfoods.bizphone,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Based in Denver, Ready Foods is a family-owned company specializing in custom food solutions cooked in kettles for the past 50 years. We provide expertise to scale up menu concepts with consistency and quality. Although we have grown since our first small kitchen on Colfax Avenue in Denver, the Abarca family's philosophy continues to provide a vision for each of our company initiatives. With our current multi-facility production footprint, we stand by the integrity of our food and the collective",,,,,
Universal Pure,Meriden,CT,https://universalpure.com/,1 888-240-2070,sales@universalpure.com,https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,Penn State Extension — List of Co-packers in Pennsylvania and Beyond (updated Dec 16 2025),"High Pressure Processing (HPP) and cold chain solutions, including beverage co-packing in 8-32-oz plastic bottles. Beverage co-packing, cold storage, kitting and assembly, date-coding, and other value-added cold chain solutions in Meriden, CT and Mira Loma, CA.",HPP; beverage,HPP,,,review: contradiction — see copackers-review.md
"Palmieri Food Products, Inc",New Haven,CT,,203-624-0042,sales@palmierifoods.com,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Pack products from 8 oz - 6 gal, in glass and plastic. Cold Fill: Horseradish, Cocktail Sauce",cold-fill; beverage; sauces,sauce/condiment,,,Listed in Cornell kitchens/co-packers directory; may include shared-use services.; review: not clearly a co-packer
"Gourmet Products, Inc",Thomaston,CT,,860-283-5147,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Glass: acidified, hot & cold pack, vacuum pack, Mustard, sauces, relishes",cold-fill; acidified; sauces,sauce/condiment,,,Listed in Cornell kitchens/co-packers directory; may include shared-use services.; review: not clearly a co-packer
Pulp Kitchen,contract co-packer arrangements to produce closer New York City metro area and,CT,http://www.pkjuice.com,203-927-8158,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Pulp Kitchen Juice is a certified organic cold pressed company, beverage and food product developer and also a co packer with the ability to assist in co packing products. We also offer private label items such as: cold pressed juice, orange and apple juice blends, protein smoothies, plant-based proteins, nut mylk, almond milk (or almond mylk), cashew milk, soy milk, cold brew coffees, lemonades, iced teas, and vegetable dips and dressings We can handle HPP processed, hot fill or flash pasteuriz",HPP; hot-fill; beverage; sauces,HPP; hot-fill; sauce/condiment,,organic,review: contradiction — see copackers-review.md
Endorphin Farms,Augustine,FL,https://endorphinfarms.com,904-824-2006,mfehr@endorphinfarms.com,https://foodbusiness.ces.ncsu.edu/tools-for-success/other-services-supplies/ | https://edis.ifas.ufl.edu/publication/FS380,"NC State Extension Food Business — Other Services & Supplies (Copackers section; page updated Aug 17 2026) | UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)",sauces,sauces,sauce/condiment,,,3255 Parker Drive; review: contradiction — see copackers-review.md
Hot Wachulas,Bartow,FL,https://hotwachulas.com/p/contract-packaging,863-602-0857,info@hotwachulas.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","Salsa, hot sauce",sauces,sauce/condiment,,,
St. Armands Baking Company,Bradenton,FL,https://www.starbake.com/co-packing,941-753-7494,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)",bread and roll bakery products,bakery,,,,
Ashlynn's Gourmet,Clearwater,FL,https://www.ashlynnsgourmet.com/co-packing,727-648-4734,annthea@ashlynnsgourmet.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)",sauces,sauces,sauce/condiment,,,also offers co-packing training course
The Sauceology Group,Clearwater,FL,https://thesauceologygroup.com,727-389-3774,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","sauces, spice blends, rubs, salsas, dressings, marinades",sauces,sauce/condiment,,,
"Refresco Beverages US, Inc.",Dade City,FL,https://www.refresco-na.com/na/,352-567-2200,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","water, juices, teas, energy drinks",beverage,,,organic; kosher,"kosher, organic"
Stage Coach Sauces,Daytona Beach,FL,https://stagecoachsauces.com,386-328-6330,info@stagecoachsauces.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","sauces, condiments, dressing, syrups",sauces,sauce/condiment,,,
House Autry,Edgewater,FL,https://www.house-autry.com/pages/private-label,386-428-5833,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","dry blends (seasonings, marinades, sauces)",sauces; dry-blend,sauce/condiment,,,
G. S. Gelato,Fort Walton Beach,FL,https://gsgelato.com,850-243-5455,info@gsgelato.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","gelato, sorbet, desserts",dairy,,,,
All Wrapped Up,Ft. Lauderdale,FL,https://allwrappedup-gifts.com/,800-891-2194,info@allwrappedup-gifts.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","chocolate, other candy and snacks, specialty food packaging",snacks; chocolate,,,,review: not clearly a co-packer
Islamorada Beverages,Islamorada,FL,https://www.islamoradabeverages.com/,305-508-9093,southgm@islamoradabeverages.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","beer, liquor, seltzer, canned cocktails",beverage; canning,,,,
Azure Water,Leesburg,FL,http://azurewater.com/company/,352-728-5646,sales@azurewater.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)",bottled water,,,,,
H&H Products Company,Maitland,FL,https://hhproductscompany.com/copacking/,800-678-8448,info@hhproductscompany.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","beverage, juice concentrates, syrups",beverage,,,,
"Criollos Food, USA",Medley,FL,https://www.criollosfoodusa.com,954-629-7471,mvasquez@criollosfoodusa.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","dry beans, peas, wheat, flours, cornmeal",,,,,
"Marina Foods, Inc.",Medley,FL,https://www.marinafoods.com,786-888-0129,info@marinafoods.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","cooking oils, salad dressings, sauces",sauces,sauce/condiment,,,
Al-Rite Bottled Ideas,Miami,FL,http://www.al-rite.com,305-652-2540,info@al-rite.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","liquid beverages, concentrates, sauces, teas, drink mixes",beverage; sauces,sauce/condiment,,,
"Transnational Foods, LLC.",Miami,FL,https://transnationalfoods.com/,305-365-9652,info@tfinc.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","Olive oil, low sugar, canned vegetables, canned meats, pasta, condiments",canning; sauces,sauce/condiment,,,
United Oil Packers,Miami,FL,http://unitedoilcompany.com/products.php4,305-687-6457,contact@unitedoilcompany.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","Cooking oils, shortenings",,,,,
Las Olas Confections and Snacks,Orlando,FL,https://lasolasbrands.com/,407-816-9944,orders@lasolabrands.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","candies, chocolates",chocolate,,,,
Palmetto Canning Co. Inc.,Palmetto,FL,http://www.palmettocanning.com,941-722-1100,pcrbaggs@tampabay.rr.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","dietary supplements, marinades, sauces, dressings, cooking wines, jellies and marmalades",sauces,sauce/condiment,,,
Kitchen Fusions,Pinellas Park,FL,https://www.mycopacker.com/about-us/,727-546-3444,info@mycopacker.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","sauces, dips (dry blending only)",sauces; dry-blend,sauce/condiment,,,
